district,value,name
زغرتا,7444,لعل (غير ممسوحة)
زغرتا,7434,اصنون
زغرتا,7442,الحريق
زغرتا,7443,الخالدية
زغرتا,7440,مزرعة جنيدة
زغرتا,7439,الجديدة
زغرتا,7438,كفرزبنا
زغرتا,7437,كفر حورا
زغرتا,7436,التلت
زغرتا,7435,مزرعة اجبع
البترون,7525,بشتودار - عوره
البترون,7526,حدتون
البترون,7524,دوما
البترون,7527,كفر حلده
البترون,7528,محمرش
البترون,7523,كفر شليمان
البترون,7530,مار ماما
البترون,7531,العلالي
البترون,7529,بيت شلالا
البترون,7522,الفتاحات
البترون,7521,تولا
البترون,7520,داعل
البترون,7518,زان
البترون,7517,شبطين
البترون,7516,جيلا
البترون,7515,صغار و وطى صغرتا
البترون,7532,نيحا
البترون,7545,بيت كساب
البترون,7519,آصيا
البترون,7542,وطى حوب
البترون,7552,قرنعون
البترون,7551,غوما
البترون,7550,حنوش - حامات
البترون,7549,هربونا
البترون,7548,دير بللا
البترون,7547,نحلا
البترون,7546,دير مار يوحنا دوما
البترون,7505,دريا
البترون,7543,شاتين
البترون,7514,حربونا
البترون,7533,كفور العربي
البترون,7541,تنورين التحتا
البترون,7540,مراح الحاج
البترون,7539,رام
البترون,7538,ضهر ابي ياغي
البترون,7537,مسرح
البترون,7536,الدوق
البترون,7535,راشا
البترون,7534,بشعله
البترون,7544,حردين
البترون,7482,البترون
البترون,7491,دير كفيفان
البترون,7490,بجدرفل
البترون,7489,اجدبرا
البترون,7488,كفيفان
البترون,7487,بسبينا
البترون,7513,عبدللى
البترون,7485,كفر عبيدا (ناقص اول 500 عقار)
البترون,7492,راس  نحاش
البترون,7483,تحوم
البترون,7486,راشانا
البترون,7481,كبا
البترون,7480,سلعاتا
البترون,7479,وجه الحجر
البترون,7478,حامات
البترون,7477,هري
البترون,7476,شكا
البترون,8382,راشكيدا
البترون,7507,مراح الزيات
البترون,7510,جربتا
البترون,7484,عبرين
البترون,7511,بقسميا
البترون,7493,اده
البترون,7509,حلتا
البترون,7508,شوما
البترون,7506,عرطز
البترون,7504,مراح شديد
البترون,7503,جران
البترون,7495,مزرعة قرنعون
البترون,7512,كفر حتنا
البترون,7502,راشكده
البترون,7494,كفر خلص
البترون,7496,كور
البترون,7497,تنورين الفوقا
البترون,7498,كفر حي
البترون,7499,صورات
البترون,7500,دير مار يوسف جربتا
البترون,7501,سمار جبيل
عكار,7568,مغراق
عكار,7558,قبة شمرا
عكار,7563,القليعات
عكار,7561,المقيتة (غير ممسوحة)
عكار,7560,كفر ملكي
عكار,7559,سمقلة
عكار,7562,الرمول
عكار,7557,العمارة
عكار,7556,وادي الجاموس
عكار,7555,ببنين
عكار,7553,حكر الظاهري
عكار,942,النهرية و بستان الحرش
عكار,140,حميص
عكار,7554,المحمرة
عكار,7679,العرمة (غير ممسوحة)
عكار,7647,شربيلا
عكار,7669,خربة داوود
عكار,7670,خربة شار
عكار,7671,المصلا
عكار,7672,دوير عدوية
عكار,7673,فسيقين و عين اشما
عكار,7674,وادي الحور
عكار,7667,عين تنتا
عكار,7677,نوراالفوقاوالتحتا (غير ممسوحة)
عكار,7666,حوشب
عكار,7680,المزيحمة
عكار,7681,الخرنوبة
عكار,7682,كفر الفتوح
عكار,7683,برتا
عكار,7684,سرار
عكار,7685,وادي خالد (غير ممسوحة)
عكار,7686,العيون
عكار,7687,الحاكور
عكار,7675,دنكة و العامرية
عكار,7657,ضهر الكنيسة (غير ممسوحة)
عكار,7648,السويسة
عكار,7649,بيت يونس (ناقص اول 56 عقار)
عكار,7650,قته
عكار,7651,دير جنين (غير ممسوحة)
عكار,7652,كروم عرب
عكار,7653,الريحانية
عكار,7654,سفينة الدريب
عكار,7668,الدوسه وبغدادي
عكار,7656,بيت ايوب
عكار,7690,حكر الشيخ طابا الجبل
عكار,7658,جانين
عكار,7659,عكر قشلق
عكار,7660,التليل
عكار,7661,عمار البيكات
عكار,7662,الهيتلا
